open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,variant,year
20220718,20220719,20220823,20220824,-1,202209,take_profit,0.8036633102660427,1.6742562995963286,-0.0945997969863441,7570.0,-130.0,26,1,3905.8036878929684,-1084.9454688591575,178.28306142279837,14616.385356470571,3727.52062647017,0.2550234230667723,B 波动定手数,2022
20220927,20220928,20220930,20221010,1,202301,stop_loss,0.8754792599895597,-1.896476483233705,-2.350305085202962,-3595.0,-4775.0,3,0,-1033.0655267876803,-1033.0655267876803,99.05785183003871,16929.49264212211,-1132.123378617719,-0.06687284743553942,B 波动定手数,2022
20221012,20221013,20221109,20221110,1,202301,take_profit,0.9190557496116575,-1.5546771690047374,0.37804054882152455,-2670.0,1320.0,20,0,3667.032440950514,-1268.2969344640874,102.53813092842302,17986.10483105006,3564.4943100220908,0.19818044782373204,B 波动定手数,2022
20230103,20230104,20230105,20230106,1,202305,stop_loss,1.367497962297069,-1.9360302575806694,-2.318797445171086,85.0,-370.0,2,0,-622.2115728451664,-642.7240422796225,152.84729849288686,26322.421277071364,-775.0588713380532,-0.02944481676589466,B 波动定手数,2023
20230119,20230120,20230213,20230214,1,202305,take_profit,1.4182541521490843,-1.661984074022168,0.4379555443402328,775.0,3200.0,12,0,3439.26631896153,-1382.7977983453573,158.98841783714056,27996.336963422924,3280.2779011243892,0.11716811043566364,B 波动定手数,2023
20230330,20230331,20230403,20230404,-1,202309,stop_loss,1.5043413197307232,1.6844255015910972,2.344952512263134,4705.0,5825.0,2,0,-1684.86227809841,-1760.0793440849461,166.0236210694418,27261.37252789622,-1850.8858991678517,-0.06789408336920173,B 波动定手数,2023
20230424,20230425,20230426,20230427,-1,202309,stop_loss,1.7559816987819408,1.7597217127768685,2.3571166955376506,5835.0,7070.0,2,0,-2168.637397995697,-2168.637397995697,193.2642237587898,31723.56537019454,-2361.9016217544868,-0.07445259050149453,B 波动定手数,2023
20230518,20230519,20230519,20230522,-1,202309,stop_loss,1.7616025666076203,1.814253891536755,2.3837272096992512,7665.0,8820.0,1,0,-2034.6509644318014,-2034.6509644318014,190.30680607190453,29961.68877337573,-2224.957770503706,-0.07426009219082559,B 波动定手数,2023
20231129,20231130,20231130,20231201,1,202405,stop_loss,1.4790919371628946,-2.0694211780840415,-2.6336742613200728,3800.0,2815.0,1,0,-1456.905558105451,-1456.905558105451,162.89757186152963,26464.800394880804,-1619.8031299669806,-0.061205945474665506,B 波动定手数,2023
20231207,20231208,20231215,20231218,1,202405,take_profit,1.4785350433696947,-1.889244150616434,0.3361693264068288,3950.0,7020.0,6,0,4539.102583144962,0.0,162.47769445093914,26576.371697561586,4376.624888694023,0.1646810534748648,B 波动定手数,2023
20240513,20240514,20240527,20240528,1,202409,take_profit,1.9956934096526813,-2.909851316704357,-0.4618954815722721,2195.0,3940.0,10,0,3482.4849998439295,-199.56934096526805,223.49271571347964,37922.16617022025,3258.9922841304497,0.08593898010735714,B 波动定手数,2024
20240906,20240909,20240930,20241008,-1,202501,take_profit,2.3097217032531954,2.902459573717205,-0.09980263202839323,5235.0,1925.0,14,0,7645.178837768077,-2228.881443639333,255.6677147765027,40900.08997686693,7389.511122991574,0.18067224612882457,B 波动定手数,2024
20241122,20241125,20241231,20241231,1,202501,end,2.096584060817773,-2.6712597807232865,-2.215393889166126,1440.0,-2815.0,26,1,-6509.893508839185,-6530.8593494473635,467.26044817430505,39821.67901754845,-6977.15395701349,-0.17520993913739366,B 波动定手数,2024
20250214,20250217,20250227,20250228,-1,202505,take_profit,1.3222851496274461,3.0727268645863104,-0.508420834821995,145.0,-1260.0,9,0,1857.810635226562,-542.136911347253,146.27977810526068,24094.679996511324,1711.5308571213013,0.07103355833607727,B 波动定手数,2025
20250331,20250401,20250407,20250408,-1,202509,stop_loss,1.214494327987651,2.6344502333573,4.169428851879943,2210.0,3950.0,4,0,-2113.2201306985125,-4602.933503073197,131.98881457704192,21321.6624221512,-2245.2089452755545,-0.10530177717019822,B 波动定手数,2025
20250514,20250515,20250516,20250519,1,202509,take_profit,1.2531307447503324,-2.9144550048436764,0.3699416692263285,1740.0,2945.0,2,0,1510.0225474241504,0.0,135.8149366814134,21595.45275043143,1374.207610742737,0.06363411902606596,B 波动定手数,2025
20250604,20250605,20250613,20250616,1,202509,stop_loss,1.289688698472728,-2.541822758100539,-3.900799000908461,1975.0,-155.0,7,0,-2747.036927746911,-2747.036927746911,139.49272962681027,21370.3996714328,-2886.529657373721,-0.1350713932239804,B 波动定手数,2025
20250722,20250723,20250725,20250728,1,202509,stop_loss,1.2569274065272098,-2.9820879338964352,-3.928559414552831,-1110.0,-2150.0,3,0,-1307.2045027882982,-1351.1969620167506,137.68634196580362,22080.192364982187,-1444.8908447541019,-0.06543832684381903,B 波动定手数,2025
20250814,20250815,20250905,20250908,-1,202601,take_profit,1.1099042904561331,2.9121507660139963,-0.9945742065701456,-1025.0,-1350.0,16,0,360.71889439824315,-2047.7734158915655,120.8269558197808,19337.640471759114,239.89193857846234,0.01240543999816332,B 波动定手数,2025
20251013,20251014,20251022,20251023,1,202601,take_profit,1.2984754327591765,-2.7528265035779316,0.8560640390489132,-1975.0,95.0,7,0,2687.8441458114958,0.0,139.51079744651145,21602.47607972787,2548.3333483649844,0.11796487305251012,B 波动定手数,2025
20251030,20251031,20251125,20251126,-1,202601,take_profit,1.4680534342561935,2.958426328391862,-0.07256824976042892,2035.0,3005.0,18,0,-1424.0118312285076,-5740.088927941717,155.87497754245413,23665.31497089669,-1579.8868087709618,-0.06675959355342986,B 波动定手数,2025
20251219,20251222,20251222,20251223,1,202605,stop_loss,1.0569854245454484,-2.6641901341551417,-4.352270726815561,-1495.0,-2775.0,1,0,-1352.941343418174,-1437.5001773818099,111.37138322808025,16121.775886421905,-1464.3127266462543,-0.09082825223240629,B 波动定手数,2025
20260303,20260304,20260305,20260306,1,202605,take_profit,0.9610499991927973,-5.9573712424268574,0.04351003909904608,-4300.0,5.0,2,0,4137.320246524992,0.0,105.98315233598291,17163.391935584168,4031.3370941890093,0.2348799764824458,B 波动定手数,2026
20260309,20260310,20260310,20260311,1,202605,take_profit,0.6920419264361453,-3.9775570140884398,1.2834724117167566,2800.0,1060.0,1,0,-1204.1529519988928,-1204.1529519988928,78.04018396035123,13684.990686889485,-1282.193135959244,-0.09369338754374255,B 波动定手数,2026
