date,A 固定手数,B 波动定手数,C 波动定手数+金额止损
20240423,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240424,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240425,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240426,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240429,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240430,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240506,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240507,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240508,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240509,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240510,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240513,0.9545441593080495,1.1609882802534592,0.6578068951221481
20240514,0.9545441593080495,1.1781124856882883,0.6749311005569769
20240515,0.9545441593080495,1.1740611818466007,0.6708797967152895
20240516,0.9545441593080495,1.1642349166278154,0.6610535314965043
20240517,0.9545441593080495,1.1659814251828675,0.6628000400515563
20240520,0.9545441593080495,1.169924114644681,0.6667427295133699
20240521,0.9545441593080495,1.1834117595957951,0.6802303744644838
20240522,0.9545441593080495,1.1918568411261836,0.6886754559948725
20240523,0.9545441593080495,1.2030591520227327,0.6998777668914216
20240524,0.9545441593080495,1.2060239199365983,0.7028425348052871
20240527,0.9545441593080495,1.219052544289328,0.7158711591580167
20240528,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240529,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240530,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240531,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240603,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240604,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240605,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240606,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240607,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240611,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240612,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240613,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240614,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240617,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240618,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240619,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240620,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240621,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240624,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240625,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240626,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240627,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240628,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240701,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240702,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240703,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240704,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240705,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240708,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240709,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240710,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240711,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240712,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240715,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240716,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240717,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240718,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240719,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240722,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240723,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240724,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240725,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240726,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240729,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240730,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240731,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240801,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240802,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240805,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240806,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240807,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240808,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240809,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240812,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240813,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240814,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240815,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240816,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240819,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240820,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240821,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240822,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240823,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240826,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240827,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240828,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240829,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240830,0.9545441593080495,1.2172927740749289,0.7141113889436177
20240902,0.9545441593080495,1.2172927740749289,0.7141113889436177
